id,source_table_number,name,slug,source_document,composition_basis,source_file,created_at,updated_at
1,4.1,"SEREALIA DAN HASIL OLAHANNYA",serealia-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.1_serealia_dan_hasil_olahannya.json,2026-07-28T08:53:57.562Z,2026-07-28T13:58:37.607Z
2,4.10,"LEMAK DAN MINYAK",lemak-dan-minyak,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.10_lemak_dan_minyak.json,2026-07-28T08:53:57.566Z,2026-07-28T13:58:37.609Z
3,4.11,"GULA, SIRUP, DAN KONFEKSIONERI",gula-sirup-dan-konfeksioneri,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.11_gula_sirup_dan_konfeksioneri.json,2026-07-28T08:53:57.566Z,2026-07-28T13:58:37.610Z
4,4.12,BUMBU,bumbu,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.12_bumbu.json,2026-07-28T08:53:57.566Z,2026-07-28T13:58:37.610Z
5,4.2,"UMBI BERPATI DAN HASIL OLAHANNYA",umbi-berpati-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.2_umbi_berpati_dan_hasil_olahannya.json,2026-07-28T08:53:57.567Z,2026-07-28T13:58:37.611Z
6,4.3,"KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",kacang-biji-bean-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.3_kacang_biji_bean_dan_hasil_olahannya.json,2026-07-28T08:53:57.568Z,2026-07-28T13:58:37.612Z
7,4.4,"SAYURAN DAN HASIL OLAHANNYA",sayuran-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.4_sayuran_dan_hasil_olahannya.json,2026-07-28T08:53:57.570Z,2026-07-28T13:58:37.615Z
8,4.5,"BUAH DAN HASIL OLAHANNYA",buah-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.5_buah_dan_hasil_olahannya.json,2026-07-28T08:53:57.573Z,2026-07-28T13:58:37.618Z
9,4.6,"DAGING, UNGGAS DAN HASIL OLAHANNYA",daging-unggas-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.6_daging_unggas_dan_hasil_olahannya.json,2026-07-28T08:53:57.575Z,2026-07-28T13:58:37.620Z
10,4.7,"IKAN, KERANG, UDANG, DAN HASIL OLAHANNYA",ikan-kerang-udang-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.7_ikan_kerang_udang_dan_hasil_olahannya.json,2026-07-28T08:53:57.577Z,2026-07-28T13:58:37.622Z
11,4.8,"TELUR DAN HASIL OLAHANNYA",telur-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.8_telur_dan_hasil_olahannya.json,2026-07-28T08:53:57.580Z,2026-07-28T13:58:37.624Z
12,4.9,"SUSU DAN HASIL OLAHANNYA",susu-dan-hasil-olahannya,"Tabel Komposisi Pangan Indonesia 2017","per 100 gram bagian yang dapat dimakan (BDD)",4.9_susu_dan_hasil_olahannya.json,2026-07-28T08:53:57.580Z,2026-07-28T13:58:37.624Z
