id,category_id,tkpi_code,name,normalized_name,item_type,source_reference,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,total_carotene_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,source_file,source_record_hash,imported_at,updated_at
1,1,AR001,"Beras giling, mentah","beras giling mentah",single,KZGMI-2001,12.0,357.0,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,27.0,71.0,0.1,0.5,0.0,0.0,0.0,0.2,0.08,2.6,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,1c331f1f62b56eaa9f981d149ad65cb15e3e8dfaf171398faf5ea24a8fb64127,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
2,1,AR002,"Beras giling var pelita, mentah","beras giling var pelita mentah",single,KZGPI-1990,11.4,369.0,9.5,1.4,77.1,0.4,0.6,68.0,171.0,1.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,95e13330f0b0c4ccf68e6249116956d87837e7d8bd47204f4fe9b80dc808364b,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
3,1,AR003,"Beras giling var rojolele, mentah","beras giling var rojolele mentah",single,KZGPI-1990,12.0,357.0,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,34.0,112.9,0.14,0.1,,0.0,80.0,0.2,0.02,1.5,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,9bf1af0c9312a2ad63e77d6bd97eeb23979b5c38ff92c01f0a2f6828cb6b50f3,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
4,1,AR004,"Beras hitam, mentah","beras hitam mentah",single,KZGMI-2001,12.9,351.0,8.0,1.3,76.9,20.1,0.9,6.0,198.0,0.1,15.0,105.0,0.1,1.6,0.0,0.0,0.0,0.21,0.06,0.0,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,e00a7e5d61edc29cda3f651ff857c70c578cab8069cf0fba41e1dc347ea08ac8,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
5,1,AR005,"Beras jagung kuning, kering, mentah","beras jagung kuning kering mentah",single,KZGMI-2001,10.8,358.0,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.1,4.1,,641.0,,0.12,0.08,1.0,3.0,100.0,4.1_serealia_dan_hasil_olahannya.json,db896d25f143a3c32794e41885c74268e75a01c280825108685f041665d8376f,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
6,1,AR006,"Beras jagung putih, kering, mentah","beras jagung putih kering mentah",single,KZGMI-2001,22.5,307.0,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.1,3.5,,301.0,,0.15,0.07,0.9,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,0e2edd343934092ee927b3d50753086ec777bfa4bbb9d45e41396ee7c190fcce,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
7,1,AR007,"Beras ketan hitam tumbuk, mentah","beras ketan hitam tumbuk mentah",single,KZGPI-1990,13.7,360.0,8.0,2.3,74.5,1.0,1.5,10.0,347.0,6.2,11.0,288.0,0.28,2.2,0.0,0.0,0.0,0.24,0.1,2.0,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,f5a14b4cbf7b97262f923e0afb8fe1039fa79beefe9ea65d7fa7484105467b2d,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
8,1,AR008,"Beras ketan putih tumbuk, mentah","beras ketan putih tumbuk mentah",single,KZGPI-1990,12.9,361.0,7.4,0.8,78.4,0.4,0.5,13.0,157.0,3.4,3.0,282.0,0.28,2.2,0.0,0.0,0.0,0.28,0.0,1.4,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,723895892de3dd13d10f49c8ad4c124e6e7d758d9aa4944f879b47c21dbe0067,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
9,1,AR009,"Beras ladang, mentah","beras ladang mentah",single,KZGMI-2001,9.8,376.0,7.5,3.8,78.0,5.9,0.9,20.0,110.0,0.8,10.0,70.0,0.1,1.4,0.0,0.0,,0.2,0.2,5.1,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,833fffec5f89c1d0b1160751a9328ced2d0b6f4e5fe0db1ada53e5850283507a,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
10,1,AR010,"Beras menir, mentah","beras menir mentah",single,DABM-1964,12.0,362.0,7.7,4.4,73.0,0.2,0.2,22.0,272.0,3.7,90.0,201.0,0.1,0.5,0.0,0.0,,0.55,0.0,1.9,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,8023f00571c8e875d32bf0e5aac8c6092d0320d6b1173154560ee14ef3c801ff,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
11,1,AR011,"Beras parboiled","beras parboiled",single,DABM-1964,10.0,353.0,6.8,0.6,80.0,0.5,2.5,5.0,142.0,0.8,2.0,46.0,0.28,1.0,0.0,0.0,,0.22,0.11,3.4,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,2e70411bed4ec86688ae6c91298e9b5c2732f9c914283bfb714ba8fca56e6ebf,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
12,1,AR012,"Beras tumbuk, mentah","beras tumbuk mentah",single,KZGMI-2001,11.5,354.0,7.8,0.4,79.9,3.8,0.4,3.0,112.0,0.6,5.0,85.0,0.5,1.5,0.0,0.0,,0.25,0.22,5.1,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,80f356221d41680d9b24f47a9a357307ff1acc7bc2f3807f55f23c2c3d624897,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
13,1,AR013,"Beras tumbuk merah, mentah","beras tumbuk merah mentah",single,KZGPI-1990,14.6,352.0,7.3,0.9,76.2,0.8,1.0,15.0,257.0,4.2,10.0,202.0,0.36,1.9,0.0,0.0,0.0,0.34,0.0,3.3,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,68285d02256a57a8a8e839c91ad3544b81b796d150988053e2d9a908d4d72455,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
14,1,AR014,"Cantel, mentah","cantel mentah",single,DABM-1964,11.0,366.0,11.0,3.3,73.0,1.2,1.7,28.0,287.0,4.4,7.0,249.0,,,0.0,0.0,,0.09,0.14,2.8,0.0,100.0,4.1_serealia_dan_hasil_olahannya.json,6ce426df58dba3ed05988a1280ded4b264057a9aed50da4dccaad5a27ffe9947,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
15,1,AR015,"Jagung muda, kuning, mentah","jagung muda kuning mentah",single,KZGPI-1990,61.8,147.0,5.1,0.7,31.5,1.3,0.9,6.0,122.0,1.1,5.0,33.6,0.13,0.9,0.0,113.0,261.0,0.24,0.1,0.8,9.0,100.0,4.1_serealia_dan_hasil_olahannya.json,8025d3e326dc00af2b05acf4bb4bc4281fca079853e10e4f53bf22f851188026,2026-07-28T08:53:57.563Z,2026-07-28T08:53:57.563Z
