menu_id,allergen,evidence
batch-02-001,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-003,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-007,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-007,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-009,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-011,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-02-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-03-060,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-04-060,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
