menu_id,food_ingredient_id,amount_g,component_role,preparation_note,sort_order
batch-02-001,252,150.0,staple,"",0
batch-02-001,1145,150.0,beverage,"",1
batch-02-001,713,100.0,fruit,"",2
batch-02-002,316,120.0,staple,"",0
batch-02-002,377,80.0,protein,"",1
batch-02-002,685,100.0,fruit,"",2
batch-02-003,33,120.0,staple,"",0
batch-02-003,431,80.0,protein,"",1
batch-02-003,749,100.0,fruit,"",2
batch-02-004,249,150.0,staple,"",0
batch-02-004,378,80.0,protein,"",1
batch-02-004,721,100.0,fruit,"",2
batch-02-005,251,150.0,staple,"",0
batch-02-005,383,80.0,protein,"",1
batch-02-005,751,100.0,fruit,"",2
batch-02-006,31,120.0,staple,"",0
batch-02-006,1145,150.0,beverage,"",1
batch-02-006,756,100.0,fruit,"",2
batch-02-007,45,60.0,staple,"",0
batch-02-007,1144,200.0,beverage,"",1
batch-02-007,713,100.0,fruit,"",2
batch-02-008,243,180.0,staple,"",0
batch-02-008,377,80.0,protein,"",1
batch-02-008,749,100.0,fruit,"",2
batch-02-009,244,120.0,staple,"",0
batch-02-009,1145,150.0,beverage,"",1
batch-02-009,685,100.0,fruit,"",2
batch-02-010,253,120.0,staple,"",0
batch-02-010,383,80.0,protein,"",1
batch-02-010,721,100.0,fruit,"",2
batch-02-011,31,120.0,staple,"",0
batch-02-011,431,80.0,protein,"",1
batch-02-011,751,100.0,fruit,"",2
batch-02-012,252,150.0,staple,"",0
batch-02-012,378,80.0,protein,"",1
batch-02-012,756,100.0,fruit,"",2
batch-02-013,249,150.0,staple,"",0
batch-02-013,1145,150.0,beverage,"",1
batch-02-013,749,100.0,fruit,"",2
batch-02-014,251,150.0,staple,"",0
batch-02-014,373,80.0,protein,"",1
batch-02-014,713,100.0,fruit,"",2
batch-02-015,33,120.0,staple,"",0
batch-02-015,377,80.0,protein,"",1
batch-02-015,685,100.0,fruit,"",2
batch-02-016,22,120.0,staple,"",0
batch-02-016,867,80.0,protein,"",1
batch-02-016,624,200.0,vegetable,"",2
batch-02-016,685,100.0,fruit,"",3
batch-02-017,26,120.0,staple,"",0
batch-02-017,1036,90.0,protein,"",1
batch-02-017,627,200.0,vegetable,"",2
batch-02-017,721,100.0,fruit,"",3
batch-02-018,22,120.0,staple,"",0
batch-02-018,1021,90.0,protein,"",1
batch-02-018,629,200.0,vegetable,"",2
batch-02-018,749,100.0,fruit,"",3
batch-02-019,26,120.0,staple,"",0
batch-02-019,1034,80.0,protein,"",1
batch-02-019,633,200.0,vegetable,"",2
batch-02-019,751,100.0,fruit,"",3
batch-02-020,22,120.0,staple,"",0
batch-02-020,1038,90.0,protein,"",1
batch-02-020,634,200.0,vegetable,"",2
batch-02-020,713,100.0,fruit,"",3
batch-02-021,26,120.0,staple,"",0
batch-02-021,1039,90.0,protein,"",1
batch-02-021,635,200.0,vegetable,"",2
batch-02-021,756,100.0,fruit,"",3
batch-02-022,22,120.0,staple,"",0
batch-02-022,1018,80.0,protein,"",1
batch-02-022,641,200.0,vegetable,"",2
batch-02-022,749,100.0,fruit,"",3
batch-02-023,26,120.0,staple,"",0
batch-02-023,431,100.0,protein,"",1
batch-02-023,642,200.0,vegetable,"",2
batch-02-023,721,100.0,fruit,"",3
batch-02-024,22,120.0,staple,"",0
batch-02-024,452,70.0,protein,"",1
batch-02-024,622,200.0,vegetable,"",2
batch-02-024,685,100.0,fruit,"",3
batch-02-025,26,120.0,staple,"",0
batch-02-025,377,100.0,protein,"",1
batch-02-025,624,200.0,vegetable,"",2
batch-02-025,751,100.0,fruit,"",3
batch-02-026,22,120.0,staple,"",0
batch-02-026,378,100.0,protein,"",1
batch-02-026,627,200.0,vegetable,"",2
batch-02-026,749,100.0,fruit,"",3
batch-02-027,26,120.0,staple,"",0
batch-02-027,383,100.0,protein,"",1
batch-02-027,629,200.0,vegetable,"",2
batch-02-027,713,100.0,fruit,"",3
batch-02-028,22,120.0,staple,"",0
batch-02-028,373,100.0,protein,"",1
batch-02-028,633,200.0,vegetable,"",2
batch-02-028,721,100.0,fruit,"",3
batch-02-029,26,120.0,staple,"",0
batch-02-029,1035,60.0,protein,"",1
batch-02-029,634,200.0,vegetable,"",2
batch-02-029,751,100.0,fruit,"",3
batch-02-030,22,120.0,staple,"",0
batch-02-030,846,70.0,protein,"",1
batch-02-030,635,200.0,vegetable,"",2
batch-02-030,749,100.0,fruit,"",3
batch-02-031,26,120.0,staple,"",0
batch-02-031,1032,90.0,protein,"",1
batch-02-031,641,200.0,vegetable,"",2
batch-02-031,685,100.0,fruit,"",3
batch-02-032,22,120.0,staple,"",0
batch-02-032,376,80.0,protein,"",1
batch-02-032,642,200.0,vegetable,"",2
batch-02-032,721,100.0,fruit,"",3
batch-02-033,26,120.0,staple,"",0
batch-02-033,370,80.0,protein,"",1
batch-02-033,626,200.0,vegetable,"",2
batch-02-033,751,100.0,fruit,"",3
batch-02-034,26,110.0,staple,"",0
batch-02-034,867,75.0,protein,"",1
batch-02-034,627,220.0,vegetable,"",2
batch-02-034,749,100.0,fruit,"",3
batch-02-035,22,110.0,staple,"",0
batch-02-035,1036,85.0,protein,"",1
batch-02-035,624,220.0,vegetable,"",2
batch-02-035,713,100.0,fruit,"",3
batch-02-036,26,110.0,staple,"",0
batch-02-036,1021,85.0,protein,"",1
batch-02-036,633,220.0,vegetable,"",2
batch-02-036,721,100.0,fruit,"",3
batch-02-037,22,110.0,staple,"",0
batch-02-037,1034,75.0,protein,"",1
batch-02-037,629,220.0,vegetable,"",2
batch-02-037,751,100.0,fruit,"",3
batch-02-038,26,110.0,staple,"",0
batch-02-038,1038,85.0,protein,"",1
batch-02-038,635,220.0,vegetable,"",2
batch-02-038,685,100.0,fruit,"",3
batch-02-039,22,110.0,staple,"",0
batch-02-039,1039,85.0,protein,"",1
batch-02-039,641,220.0,vegetable,"",2
batch-02-039,749,100.0,fruit,"",3
batch-02-040,26,110.0,staple,"",0
batch-02-040,1018,75.0,protein,"",1
batch-02-040,622,220.0,vegetable,"",2
batch-02-040,721,100.0,fruit,"",3
batch-02-041,22,110.0,staple,"",0
batch-02-041,431,90.0,protein,"",1
batch-02-041,634,220.0,vegetable,"",2
batch-02-041,713,100.0,fruit,"",3
batch-02-042,26,110.0,staple,"",0
batch-02-042,452,65.0,protein,"",1
batch-02-042,627,220.0,vegetable,"",2
batch-02-042,751,100.0,fruit,"",3
batch-02-043,22,110.0,staple,"",0
batch-02-043,377,90.0,protein,"",1
batch-02-043,633,220.0,vegetable,"",2
batch-02-043,749,100.0,fruit,"",3
batch-02-044,26,110.0,staple,"",0
batch-02-044,378,90.0,protein,"",1
batch-02-044,641,220.0,vegetable,"",2
batch-02-044,685,100.0,fruit,"",3
batch-02-045,22,110.0,staple,"",0
batch-02-045,383,90.0,protein,"",1
batch-02-045,624,220.0,vegetable,"",2
batch-02-045,721,100.0,fruit,"",3
batch-02-046,26,110.0,staple,"",0
