menu_id,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,total_carotene_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_c_mg,calculated_at
batch-02-001,329.3,277.0,6.9,4.5,53.9,3.9,5.4,260.0,232.0,1.85,74.5,502.5,0.165,1.5,,1270.5,,0.08,0.33,2.0,111.0,2026-07-28T09:41:32.911Z
batch-02-002,196.82,406.6,11.02,1.36,88.52,6.96,2.18,181.4,198.4,4.28,9.6,498.48,110.536,1.44,,,,0.234,0.342,0.74,,2026-07-28T09:41:32.912Z
batch-02-003,229.08,313.8,12.92,11.4,43.88,1.92,2.82,203.6,379.2,4.28,38.6,289.24,0.492,6.42,,982.6,280.8,0.124,0.412,2.04,0.0,2026-07-28T09:41:32.912Z
batch-02-004,229.93,389.7,10.7,1.45,85.56,6.15,2.36,232.2,176.0,3.24,11.8,1238.85,160.666,1.55,,0.0,,0.16,0.094,1.21,,2026-07-28T09:41:32.913Z
batch-02-005,240.82,348.4,11.51,1.53,73.68,3.37,2.46,207.5,247.1,4.85,33.9,869.36,0.94,5.88,,,,0.343,1.066,3.96,,2026-07-28T09:41:32.913Z
batch-02-006,268.74,356.4,11.95,5.39,66.66,2.86,5.26,206.0,291.0,1.31,76.0,477.66,0.455,2.18,,226.0,,0.29,0.26,1.24,9.0,2026-07-28T09:41:32.913Z
batch-02-007,291.0,269.8,12.7,1.22,52.4,,2.68,266.0,279.0,2.2,404.0,,,,,,,0.16,,,89.0,2026-07-28T09:41:32.913Z
batch-02-008,274.74,329.0,11.0,1.66,68.16,10.46,4.54,140.0,208.8,3.72,49.8,792.0,0.876,1.84,,,,0.684,0.172,1.9,,2026-07-28T09:41:32.913Z
batch-02-009,281.74,353.4,8.33,4.63,69.44,11.84,5.76,190.2,249.0,1.11,87.6,1106.3,110.575,1.62,,41.0,,0.434,0.18,1.96,5.0,2026-07-28T09:41:32.913Z
batch-02-010,208.92,353.4,10.54,1.32,77.04,3.44,2.18,189.0,188.2,4.56,15.6,478.54,160.76,5.32,,,,0.112,0.286,3.36,,2026-07-28T09:41:32.914Z
batch-02-011,211.18,320.4,14.46,7.84,51.66,2.64,2.86,218.2,301.0,4.84,18.6,200.72,0.312,2.22,,191.0,,0.448,0.222,1.04,11.0,2026-07-28T09:41:32.914Z
batch-02-012,234.68,373.2,10.05,2.05,79.76,6.2,3.46,201.2,219.0,3.04,19.3,250.0,0.566,1.7,,1265.5,,0.13,0.324,1.56,,2026-07-28T09:41:32.914Z
batch-02-013,315.05,344.5,7.35,4.6,68.4,2.95,4.7,276.0,182.0,1.15,90.0,1133.45,0.765,1.15,,16.0,,0.08,0.25,0.75,30.0,2026-07-28T09:41:32.914Z
batch-02-014,239.0,346.6,10.35,1.15,76.5,6.17,3.0,100.5,262.5,3.75,37.7,1700.6,0.94,3.36,,36.6,,0.175,0.986,12.56,,2026-07-28T09:41:32.914Z
batch-02-015,210.02,368.2,13.3,5.32,69.44,3.72,1.82,145.4,342.4,4.16,14.4,491.88,110.536,6.48,,,,0.306,0.222,2.78,,2026-07-28T09:41:32.915Z
batch-02-016,372.1,553.0,38.42,10.92,74.4,4.04,4.06,345.8,334.0,6.72,159.6,756.32,110.648,2.52,,28.0,,0.21,,,21.0,2026-07-28T09:41:32.915Z
batch-02-017,390.93,454.7,35.99,5.0,70.92,3.56,6.96,624.9,393.8,7.0,152.2,1183.4,160.44,2.75,,,12337.4,0.352,0.32,11.83,75.0,2026-07-28T09:41:32.915Z
batch-02-018,402.66,444.6,27.62,7.18,69.84,,2.8,378.2,298.5,6.08,205.4,453.0,0.71,5.45,,,,0.12,0.42,7.69,,2026-07-28T09:41:32.915Z
batch-02-019,390.1,464.0,20.82,10.52,73.34,5.16,5.3,727.0,650.6,8.04,120.2,677.04,0.52,3.5,,,,0.436,0.25,4.44,41.0,2026-07-28T09:41:32.915Z
batch-02-020,394.78,461.8,26.74,7.55,75.39,6.24,5.54,403.6,362.7,13.44,389.2,669.8,0.5,2.52,,,,,,,,2026-07-28T09:41:32.916Z
batch-02-021,398.97,460.4,25.11,8.15,73.37,,4.4,299.1,416.4,9.42,419.1,512.68,0.73,2.51,,,,,,,,2026-07-28T09:41:32.916Z
batch-02-022,386.4,521.0,38.08,9.84,68.16,2.84,4.02,183.6,318.4,4.24,179.0,512.72,,,,7693.8,,0.172,0.28,9.56,24.0,2026-07-28T09:41:32.916Z
batch-02-023,420.3,412.8,15.96,10.38,69.3,4.06,4.06,357.2,358.6,6.66,103.0,894.98,160.55,3.18,,7988.0,14490.0,0.202,0.33,3.72,77.0,2026-07-28T09:41:32.916Z
batch-02-024,365.37,568.2,20.7,21.76,77.62,5.82,4.65,626.2,365.4,14.58,48.8,1479.34,111.08,2.86,,,,0.22,0.7,7.12,69.0,2026-07-28T09:41:32.916Z
batch-02-025,403.1,454.8,18.76,1.98,93.3,7.56,2.86,410.2,333.6,6.26,33.0,815.48,0.71,3.28,,,,0.552,0.7,6.92,,2026-07-28T09:41:32.916Z
batch-02-026,382.54,519.0,26.4,3.56,100.26,6.54,7.14,696.0,268.4,7.88,124.2,886.0,0.89,3.52,,7945.0,,0.38,0.5,11.82,,2026-07-28T09:41:32.917Z
batch-02-027,408.2,427.8,22.36,3.08,83.4,6.86,2.96,506.2,375.6,11.26,55.0,197.18,1.24,11.48,,,,0.142,0.4,9.32,,2026-07-28T09:41:32.917Z
batch-02-028,398.54,468.0,18.1,1.86,98.06,7.84,3.44,255.0,366.4,4.48,67.2,1872.7,161.12,4.42,,268.0,,0.24,0.36,16.92,,2026-07-28T09:41:32.917Z
batch-02-029,369.92,546.4,38.6,16.42,61.7,5.56,3.98,383.8,581.0,10.9,135.4,763.82,0.44,1.9,,4758.8,,0.464,0.65,6.24,33.0,2026-07-28T09:41:32.917Z
batch-02-030,379.0,507.0,26.0,16.45,64.91,3.64,3.74,261.0,267.4,10.75,114.0,412.8,0.9,3.52,,4741.0,,0.17,0.94,12.94,,2026-07-28T09:41:32.917Z
batch-02-031,409.36,424.1,21.01,7.73,69.26,,2.54,156.8,324.2,2.85,219.4,707.78,,1.93,,,,,,,,2026-07-28T09:41:32.917Z
batch-02-032,379.68,486.2,22.66,8.32,85.72,5.12,3.62,223.8,331.4,5.2,236.0,1254.7,161.38,4.48,,7991.2,,0.34,0.242,5.32,77.0,2026-07-28T09:41:32.917Z
batch-02-033,373.38,506.0,28.18,9.52,84.5,8.2,4.42,590.2,438.6,10.4,79.4,1687.68,3.432,5.62,,,,0.492,1.014,7.08,,2026-07-28T09:41:32.918Z
batch-02-034,372.51,541.35,45.15,11.97,66.525,3.31,8.725,666.6,340.25,10.25,263.5,907.605,0.86,3.535,,8739.4,13393.7,0.381,,,28.6,2026-07-28T09:41:32.918Z
