menu_id,tag
batch-02-001,batch-02
batch-02-001,sarapan
batch-02-001,tkpi-terukur
batch-02-002,batch-02
batch-02-002,sarapan
batch-02-002,tkpi-terukur
batch-02-003,batch-02
batch-02-003,sarapan
batch-02-003,tkpi-terukur
batch-02-004,batch-02
batch-02-004,sarapan
batch-02-004,tkpi-terukur
batch-02-005,batch-02
batch-02-005,sarapan
batch-02-005,tkpi-terukur
batch-02-006,batch-02
batch-02-006,sarapan
batch-02-006,tkpi-terukur
batch-02-007,batch-02
batch-02-007,sarapan
batch-02-007,tkpi-terukur
batch-02-008,batch-02
batch-02-008,sarapan
batch-02-008,tkpi-terukur
batch-02-009,batch-02
batch-02-009,sarapan
batch-02-009,tkpi-terukur
batch-02-010,batch-02
batch-02-010,sarapan
batch-02-010,tkpi-terukur
batch-02-011,batch-02
batch-02-011,sarapan
batch-02-011,tkpi-terukur
batch-02-012,batch-02
batch-02-012,sarapan
batch-02-012,tkpi-terukur
batch-02-013,batch-02
batch-02-013,sarapan
batch-02-013,tkpi-terukur
batch-02-014,batch-02
batch-02-014,sarapan
batch-02-014,tkpi-terukur
batch-02-015,batch-02
batch-02-015,sarapan
batch-02-015,tkpi-terukur
batch-02-016,batch-02
batch-02-016,makan-siang
batch-02-016,tkpi-terukur
batch-02-017,batch-02
batch-02-017,makan-siang
batch-02-017,tkpi-terukur
batch-02-018,batch-02
batch-02-018,makan-siang
batch-02-018,tkpi-terukur
batch-02-019,batch-02
batch-02-019,makan-siang
batch-02-019,tkpi-terukur
batch-02-020,batch-02
batch-02-020,makan-siang
batch-02-020,tkpi-terukur
batch-02-021,batch-02
batch-02-021,makan-siang
batch-02-021,tkpi-terukur
batch-02-022,batch-02
batch-02-022,makan-siang
batch-02-022,tkpi-terukur
batch-02-023,batch-02
batch-02-023,makan-siang
batch-02-023,tkpi-terukur
batch-02-024,batch-02
batch-02-024,makan-siang
batch-02-024,tkpi-terukur
batch-02-025,batch-02
batch-02-025,makan-siang
batch-02-025,tkpi-terukur
batch-02-026,batch-02
batch-02-026,makan-siang
batch-02-026,tkpi-terukur
batch-02-027,batch-02
batch-02-027,makan-siang
batch-02-027,tkpi-terukur
batch-02-028,batch-02
batch-02-028,makan-siang
batch-02-028,tkpi-terukur
batch-02-029,batch-02
batch-02-029,makan-siang
batch-02-029,tkpi-terukur
batch-02-030,batch-02
batch-02-030,makan-siang
batch-02-030,tkpi-terukur
batch-02-031,batch-02
batch-02-031,makan-siang
batch-02-031,tkpi-terukur
batch-02-032,batch-02
batch-02-032,makan-siang
batch-02-032,tkpi-terukur
batch-02-033,batch-02
batch-02-033,makan-siang
batch-02-033,tkpi-terukur
batch-02-034,batch-02
batch-02-034,makan-malam
batch-02-034,tkpi-terukur
batch-02-035,batch-02
batch-02-035,makan-malam
batch-02-035,tkpi-terukur
batch-02-036,batch-02
batch-02-036,makan-malam
batch-02-036,tkpi-terukur
batch-02-037,batch-02
batch-02-037,makan-malam
batch-02-037,tkpi-terukur
batch-02-038,batch-02
batch-02-038,makan-malam
batch-02-038,tkpi-terukur
batch-02-039,batch-02
batch-02-039,makan-malam
batch-02-039,tkpi-terukur
batch-02-040,batch-02
batch-02-040,makan-malam
batch-02-040,tkpi-terukur
batch-02-041,batch-02
batch-02-041,makan-malam
batch-02-041,tkpi-terukur
batch-02-042,batch-02
batch-02-042,makan-malam
batch-02-042,tkpi-terukur
batch-02-043,batch-02
batch-02-043,makan-malam
batch-02-043,tkpi-terukur
batch-02-044,batch-02
batch-02-044,makan-malam
batch-02-044,tkpi-terukur
batch-02-045,batch-02
batch-02-045,makan-malam
batch-02-045,tkpi-terukur
batch-02-046,batch-02
batch-02-046,makan-malam
batch-02-046,tkpi-terukur
batch-02-047,batch-02
batch-02-047,makan-malam
batch-02-047,tkpi-terukur
batch-02-048,batch-02
batch-02-048,makan-malam
batch-02-048,tkpi-terukur
batch-02-049,batch-02
batch-02-049,makan-malam
batch-02-049,tkpi-terukur
batch-02-050,batch-02
batch-02-050,makan-malam
batch-02-050,tkpi-terukur
batch-02-051,batch-02
batch-02-051,makan-malam
batch-02-051,tkpi-terukur
batch-02-052,batch-02
batch-02-052,camilan
batch-02-052,tkpi-terukur
batch-02-053,batch-02
batch-02-053,camilan
batch-02-053,tkpi-terukur
batch-02-054,batch-02
batch-02-054,camilan
batch-02-054,tkpi-terukur
batch-02-055,batch-02
batch-02-055,camilan
batch-02-055,tkpi-terukur
batch-02-056,batch-02
batch-02-056,camilan
batch-02-056,tkpi-terukur
batch-02-057,batch-02
batch-02-057,camilan
batch-02-057,tkpi-terukur
batch-02-058,batch-02
batch-02-058,camilan
batch-02-058,tkpi-terukur
batch-02-059,batch-02
batch-02-059,camilan
batch-02-059,tkpi-terukur
batch-02-060,batch-02
batch-02-060,camilan
batch-02-060,tkpi-terukur
batch-03-001,batch-03
batch-03-001,sarapan
batch-03-001,tkpi-terukur
batch-03-002,batch-03
batch-03-002,sarapan
batch-03-002,tkpi-terukur
batch-03-003,batch-03
batch-03-003,sarapan
batch-03-003,tkpi-terukur
batch-03-004,batch-03
batch-03-004,sarapan
batch-03-004,tkpi-terukur
batch-03-005,batch-03
batch-03-005,sarapan
batch-03-005,tkpi-terukur
batch-03-006,batch-03
batch-03-006,sarapan
batch-03-006,tkpi-terukur
batch-03-007,batch-03
batch-03-007,sarapan
batch-03-007,tkpi-terukur
batch-03-008,batch-03
batch-03-008,sarapan
batch-03-008,tkpi-terukur
batch-03-009,batch-03
batch-03-009,sarapan
batch-03-009,tkpi-terukur
batch-03-010,batch-03
batch-03-010,sarapan
batch-03-010,tkpi-terukur
batch-03-011,batch-03
batch-03-011,sarapan
batch-03-011,tkpi-terukur
batch-03-012,batch-03
batch-03-012,sarapan
batch-03-012,tkpi-terukur
batch-03-013,batch-03
batch-03-013,sarapan
batch-03-013,tkpi-terukur
batch-03-014,batch-03
batch-03-014,sarapan
batch-03-014,tkpi-terukur
batch-03-015,batch-03
batch-03-015,sarapan
batch-03-015,tkpi-terukur
batch-03-016,batch-03
batch-03-016,makan-siang
batch-03-016,tkpi-terukur
batch-03-017,batch-03
batch-03-017,makan-siang
batch-03-017,tkpi-terukur
batch-03-018,batch-03
batch-03-018,makan-siang
batch-03-018,tkpi-terukur
batch-03-019,batch-03
batch-03-019,makan-siang
batch-03-019,tkpi-terukur
batch-03-020,batch-03
batch-03-020,makan-siang
batch-03-020,tkpi-terukur
batch-03-021,batch-03
batch-03-021,makan-siang
batch-03-021,tkpi-terukur
batch-03-022,batch-03
batch-03-022,makan-siang
batch-03-022,tkpi-terukur
batch-03-023,batch-03
batch-03-023,makan-siang
batch-03-023,tkpi-terukur
batch-03-024,batch-03
batch-03-024,makan-siang
batch-03-024,tkpi-terukur
batch-03-025,batch-03
batch-03-025,makan-siang
batch-03-025,tkpi-terukur
batch-03-026,batch-03
batch-03-026,makan-siang
batch-03-026,tkpi-terukur
batch-03-027,batch-03
batch-03-027,makan-siang
batch-03-027,tkpi-terukur
batch-03-028,batch-03
batch-03-028,makan-siang
batch-03-028,tkpi-terukur
batch-03-029,batch-03
batch-03-029,makan-siang
batch-03-029,tkpi-terukur
batch-03-030,batch-03
batch-03-030,makan-siang
batch-03-030,tkpi-terukur
batch-03-031,batch-03
batch-03-031,makan-siang
batch-03-031,tkpi-terukur
batch-03-032,batch-03
batch-03-032,makan-siang
batch-03-032,tkpi-terukur
batch-03-033,batch-03
batch-03-033,makan-siang
batch-03-033,tkpi-terukur
batch-03-034,batch-03
batch-03-034,makan-malam
batch-03-034,tkpi-terukur
batch-03-035,batch-03
batch-03-035,makan-malam
batch-03-035,tkpi-terukur
batch-03-036,batch-03
batch-03-036,makan-malam
batch-03-036,tkpi-terukur
batch-03-037,batch-03
batch-03-037,makan-malam
batch-03-037,tkpi-terukur
batch-03-038,batch-03
batch-03-038,makan-malam
batch-03-038,tkpi-terukur
batch-03-039,batch-03
batch-03-039,makan-malam
batch-03-039,tkpi-terukur
batch-03-040,batch-03
batch-03-040,makan-malam
batch-03-040,tkpi-terukur
batch-03-041,batch-03
batch-03-041,makan-malam
batch-03-041,tkpi-terukur
batch-03-042,batch-03
batch-03-042,makan-malam
batch-03-042,tkpi-terukur
batch-03-043,batch-03
batch-03-043,makan-malam
batch-03-043,tkpi-terukur
batch-03-044,batch-03
batch-03-044,makan-malam
batch-03-044,tkpi-terukur
batch-03-045,batch-03
batch-03-045,makan-malam
batch-03-045,tkpi-terukur
batch-03-046,batch-03
batch-03-046,makan-malam
batch-03-046,tkpi-terukur
batch-03-047,batch-03
batch-03-047,makan-malam
batch-03-047,tkpi-terukur
batch-03-048,batch-03
batch-03-048,makan-malam
batch-03-048,tkpi-terukur
batch-03-049,batch-03
batch-03-049,makan-malam
batch-03-049,tkpi-terukur
batch-03-050,batch-03
batch-03-050,makan-malam
batch-03-050,tkpi-terukur
batch-03-051,batch-03
batch-03-051,makan-malam
batch-03-051,tkpi-terukur
batch-03-052,batch-03
batch-03-052,camilan
batch-03-052,tkpi-terukur
batch-03-053,batch-03
batch-03-053,camilan
batch-03-053,tkpi-terukur
batch-03-054,batch-03
batch-03-054,camilan
batch-03-054,tkpi-terukur
batch-03-055,batch-03
batch-03-055,camilan
batch-03-055,tkpi-terukur
batch-03-056,batch-03
batch-03-056,camilan
batch-03-056,tkpi-terukur
batch-03-057,batch-03
batch-03-057,camilan
batch-03-057,tkpi-terukur
batch-03-058,batch-03
batch-03-058,camilan
batch-03-058,tkpi-terukur
