id,slug,name,description,meal_type,serving_size_g,serving_description,curation_status,is_pilot,nutrition_source,calculation_version,curation_notes,created_at,updated_at,curation_batch
batch-02-001,batch-02-ubi-kuning-yoghurt-dan-jambu-biji,"Ubi Kuning, Yoghurt, dan Jambu Biji","Ubi Kuning, Yoghurt, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,400.0,"1 porsi (400 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.326Z,2026-07-28T09:47:56.052Z,2
batch-02-002,batch-02-ubi-cilembu-kacang-merah-dan-apel,"Ubi Cilembu, Kacang Merah, dan Apel","Ubi Cilembu, Kacang Merah, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,300.0,"1 porsi (300 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.331Z,2026-07-28T09:47:56.052Z,2
batch-02-003,batch-02-jagung-pipil-tahu-dan-melon,"Jagung Pipil, Tahu, dan Melon","Jagung Pipil, Tahu, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,300.0,"1 porsi (300 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.332Z,2026-07-28T09:47:56.052Z,2
batch-02-004,batch-02-singkong-kukus-kacang-merah-dan-jeruk,"Singkong Kukus, Kacang Merah, dan Jeruk","Singkong Kukus, Kacang Merah, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,330.0,"1 porsi (330 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.333Z,2026-07-28T09:47:56.053Z,2
batch-02-005,batch-02-talas-kukus-kacang-tolo-dan-nanas,"Talas Kukus, Kacang Tolo, dan Nanas","Talas Kukus, Kacang Tolo, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,330.0,"1 porsi (330 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.333Z,2026-07-28T09:47:56.053Z,2
batch-02-006,batch-02-jagung-rebus-yoghurt-dan-pisang-ambon,"Jagung Rebus, Yoghurt, dan Pisang Ambon","Jagung Rebus, Yoghurt, dan Pisang Ambon, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,370.0,"1 porsi (370 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.333Z,2026-07-28T09:47:56.053Z,2
batch-02-007,batch-02-roti-susu-skim-dan-jambu-biji,"Roti, Susu Skim, dan Jambu Biji","Roti, Susu Skim, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,360.0,"1 porsi (360 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.333Z,2026-07-28T09:47:56.053Z,2
batch-02-008,batch-02-ubi-kukus-kacang-merah-dan-melon,"Ubi Kukus, Kacang Merah, dan Melon","Ubi Kukus, Kacang Merah, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,360.0,"1 porsi (360 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.333Z,2026-07-28T09:47:56.053Z,2
batch-02-009,batch-02-ubi-rebus-yoghurt-dan-apel,"Ubi Rebus, Yoghurt, dan Apel","Ubi Rebus, Yoghurt, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,370.0,"1 porsi (370 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
batch-02-010,batch-02-ubi-ungu-kukus-kacang-tolo-dan-jeruk,"Ubi Ungu Kukus, Kacang Tolo, dan Jeruk","Ubi Ungu Kukus, Kacang Tolo, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,300.0,"1 porsi (300 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
