menu_id,menu_name,serving_size_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,meal_type
batch-02-001,"Ubi Kuning, Yoghurt, dan Jambu Biji",400.0,277.0,6.9,4.5,53.9,3.9,74.5,breakfast
batch-02-002,"Ubi Cilembu, Kacang Merah, dan Apel",300.0,406.6,11.02,1.36,88.52,6.96,9.6,breakfast
batch-02-003,"Jagung Pipil, Tahu, dan Melon",300.0,313.8,12.92,11.4,43.88,1.92,38.6,breakfast
batch-02-004,"Singkong Kukus, Kacang Merah, dan Jeruk",330.0,389.7,10.7,1.45,85.56,6.15,11.8,breakfast
batch-02-005,"Talas Kukus, Kacang Tolo, dan Nanas",330.0,348.4,11.51,1.53,73.68,3.37,33.9,breakfast
batch-02-006,"Jagung Rebus, Yoghurt, dan Pisang Ambon",370.0,356.4,11.95,5.39,66.66,2.86,76.0,breakfast
batch-02-007,"Roti, Susu Skim, dan Jambu Biji",360.0,269.8,12.7,1.22,52.4,,404.0,breakfast
batch-02-008,"Ubi Kukus, Kacang Merah, dan Melon",360.0,329.0,11.0,1.66,68.16,10.46,49.8,breakfast
batch-02-009,"Ubi Rebus, Yoghurt, dan Apel",370.0,353.4,8.33,4.63,69.44,11.84,87.6,breakfast
batch-02-010,"Ubi Ungu Kukus, Kacang Tolo, dan Jeruk",300.0,353.4,10.54,1.32,77.04,3.44,15.6,breakfast
batch-02-011,"Jagung Rebus, Tahu, dan Nanas",300.0,320.4,14.46,7.84,51.66,2.64,18.6,breakfast
batch-02-012,"Ubi Kuning, Kacang Merah, dan Pisang Ambon",330.0,373.2,10.05,2.05,79.76,6.2,19.3,breakfast
batch-02-013,"Singkong Kukus, Yoghurt, dan Melon",400.0,344.5,7.35,4.6,68.4,2.95,90.0,breakfast
batch-02-014,"Talas Kukus, Kacang Gude, dan Jambu Biji",330.0,346.6,10.35,1.15,76.5,6.17,37.7,breakfast
batch-02-015,"Jagung Pipil, Kacang Merah, dan Apel",300.0,368.2,13.3,5.32,69.44,3.72,14.4,breakfast
batch-02-016,"Nasi, Ayam Kalasan, Buncis, dan Apel",500.0,553.0,38.42,10.92,74.4,4.04,159.6,lunch
batch-02-017,"Nasi Merah, Pepes Mujahir, Daun Kelor, dan Jeruk",510.0,454.7,35.99,5.0,70.92,3.56,152.2,lunch
batch-02-018,"Nasi, Ikan Baung, Daun Singkong, dan Melon",510.0,444.6,27.62,7.18,69.84,,205.4,lunch
batch-02-019,"Nasi Merah, Pepes Ikan Mas, Kacang Panjang, dan Nanas",500.0,464.0,20.82,10.52,73.34,5.16,120.2,lunch
batch-02-020,"Nasi, Ikan Papuyu, Kangkung, dan Jambu Biji",510.0,461.8,26.74,7.55,75.39,6.24,389.2,lunch
batch-02-021,"Nasi Merah, Ikan Patin, Kangkung Rebus, dan Pisang",510.0,460.4,25.11,8.15,73.37,,419.1,lunch
batch-02-022,"Nasi, Cumi, Wortel, dan Melon",500.0,521.0,38.08,9.84,68.16,2.84,179.0,lunch
batch-02-023,"Nasi Merah, Tahu, Wortel Kukus, dan Jeruk",520.0,412.8,15.96,10.38,69.3,4.06,103.0,lunch
batch-02-024,"Nasi, Tempe, Bayam, dan Apel",490.0,568.2,20.7,21.76,77.62,5.82,48.8,lunch
batch-02-025,"Nasi Merah, Kacang Merah, Buncis, dan Nanas",520.0,454.8,18.76,1.98,93.3,7.56,33.0,lunch
batch-02-026,"Nasi, Kacang Merah Segar, Daun Kelor, dan Melon",520.0,519.0,26.4,3.56,100.26,6.54,124.2,lunch
batch-02-027,"Nasi Merah, Kacang Tolo, Daun Singkong, dan Jambu",520.0,427.8,22.36,3.08,83.4,6.86,55.0,lunch
batch-02-028,"Nasi, Kacang Gude, Kacang Panjang, dan Jeruk",520.0,468.0,18.1,1.86,98.06,7.84,67.2,lunch
batch-02-029,"Nasi Merah, Mujahir Goreng, Kangkung, dan Nanas",480.0,546.4,38.6,16.42,61.7,5.56,135.4,lunch
batch-02-030,"Nasi, Bebek Goreng, Kangkung Rebus, dan Melon",490.0,507.0,26.0,16.45,64.91,3.64,114.0,lunch
batch-02-031,"Nasi Merah, Ikan Lais, Wortel, dan Apel",510.0,424.1,21.01,7.73,69.26,,219.4,lunch
batch-02-032,"Nasi, Kedelai Rebus, Wortel Kukus, dan Jeruk",500.0,486.2,22.66,8.32,85.72,5.12,236.0,lunch
batch-02-033,"Nasi Merah, Kacang Belimbing, Daun Katuk, dan Nanas",500.0,506.0,28.18,9.52,84.5,8.2,79.4,lunch
batch-02-034,"Nasi Merah, Ayam Kalasan, Daun Kelor, dan Melon",505.0,541.35,45.15,11.97,66.525,3.31,263.5,dinner
batch-02-035,"Nasi, Pepes Mujahir, Buncis, dan Jambu Biji",515.0,415.85,27.485,3.45,70.74,5.92,75.8,dinner
batch-02-036,"Nasi Merah, Ikan Baung, Kacang Panjang, dan Jeruk",515.0,397.3,24.17,6.45,64.13,,205.1,dinner
batch-02-037,"Nasi, Pepes Ikan Mas, Daun Singkong, dan Nanas",505.0,480.95,23.54,10.325,76.49,5.715,92.2,dinner
batch-02-038,"Nasi Merah, Ikan Papuyu, Kangkung, dan Apel",515.0,398.5,24.04,7.345,61.065,3.77,349.3,dinner
batch-02-039,"Nasi, Ikan Patin, Wortel, dan Melon",515.0,419.0,20.315,7.185,69.095,,440.45,dinner
batch-02-040,"Nasi Merah, Cumi, Bayam, dan Jeruk",505.0,473.65,37.29,9.755,59.71,4.37,107.0,dinner
batch-02-041,"Nasi, Tahu, Kangkung Kukus, dan Jambu Biji",520.0,416.5,19.97,9.82,68.57,6.67,116.4,dinner
batch-02-042,"Nasi Merah, Tempe, Daun Kelor, dan Nanas",495.0,574.5,30.2,20.82,76.12,6.12,124.5,dinner
batch-02-043,"Nasi, Kacang Merah, Kacang Panjang, dan Melon",520.0,443.2,18.23,2.42,89.72,6.64,86.3,dinner
batch-02-044,"Nasi Merah, Kacang Merah Segar, Wortel, dan Apel",520.0,412.1,14.12,2.84,84.64,6.04,104.7,dinner
batch-02-045,"Nasi, Kacang Tolo, Buncis, dan Jeruk",520.0,433.2,18.67,1.96,89.4,5.73,32.2,dinner
batch-02-046,"Nasi Merah, Kacang Gude, Daun Singkong, dan Jambu",520.0,413.4,20.22,2.51,83.26,9.31,56.7,dinner
batch-02-047,"Nasi, Mujahir Goreng, Kangkung, dan Melon",485.0,529.8,36.735,15.415,61.92,5.18,156.8,dinner
batch-02-048,"Nasi Merah, Bebek Goreng, Kangkung Rebus, dan Nanas",495.0,465.3,24.88,15.415,58.795,4.57,102.8,dinner
batch-02-049,"Nasi, Ikan Lais, Wortel Kukus, dan Apel",515.0,461.35,20.875,7.575,79.43,,220.0,dinner
batch-02-050,"Nasi Merah, Kedelai Rebus, Daun Katuk, dan Jeruk",505.0,467.25,30.79,8.77,76.495,5.57,180.45,dinner
batch-02-051,"Nasi, Kacang Belimbing, Bayam, dan Jambu Biji",505.0,466.0,19.735,8.77,81.865,8.86,76.35,dinner
batch-02-052,Yoghurt dan Jambu Biji,250.0,125.5,4.65,2.95,22.3,3.6,55.0,snack
batch-02-053,Yoghurt dan Jeruk Manis,250.0,119.5,4.65,2.8,20.8,2.1,46.0,snack
batch-02-054,Ubi Kuning dan Melon,200.0,137.0,1.3,0.7,31.6,2.0,30.0,snack
batch-02-055,Ubi Kukus dan Apel,200.0,149.0,1.7,0.7,33.8,4.9,13.6,snack
batch-02-056,Kacang Merah dan Nanas,160.0,152.8,6.88,0.74,30.22,3.16,10.6,snack
batch-02-057,Kacang Merah Segar dan Jambu Biji,160.0,135.4,6.9,0.9,27.02,4.5,13.6,snack
batch-02-058,Jagung Rebus dan Pisang Ambon,160.0,200.0,4.8,1.2,43.68,2.16,12.0,snack
batch-02-059,Talas Kukus dan Jeruk,180.0,141.0,2.1,0.44,33.76,1.96,12.8,snack
batch-02-060,Kacang Tolo dan Melon,160.0,119.8,7.02,1.06,21.36,1.54,34.8,snack
batch-03-001,"Talas Belitung, Kacang Merah, dan Jeruk",330.0,388.9,10.94,1.52,85.06,4.98,19.3,breakfast
batch-03-002,"Ubi Gadung, Kacang Merah Segar, dan Melon",360.0,310.6,9.68,1.74,65.18,5.42,42.6,breakfast
batch-03-003,"Suweg Kukus, Kacang Tolo, dan Apel",360.0,334.8,11.76,1.46,70.3,3.14,24.8,breakfast
batch-03-004,"Talas Bogor, Tahu, dan Pisang Ambon",330.0,380.0,11.01,8.05,68.6,3.03,32.1,breakfast
batch-03-005,"Ubi Kuning, Kacang Gude, dan Nanas",330.0,325.6,8.95,1.05,71.0,5.82,22.7,breakfast
batch-03-006,"Ubi Ungu, Yoghurt, dan Jambu Biji",370.0,325.0,6.93,4.29,65.96,3.72,71.2,breakfast
