rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,params
1,0.944722880093764,0.023046406238937264,0.9731138495184919,0.0027718273559967973,0.0664456844329834,0.016864180325546655,0.0330620288848877,0.015835146970587084,balanced,entropy,10,4,10,0.9017072346179852,0.9660919540229885,0.9576271186440678,0.9406097210238712,0.9575783721599079,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
2,0.9430250425718472,0.022334924417344606,0.9731198934002222,0.002772175165022951,0.04751124382019043,0.013161593179728384,0.01684436798095703,0.006336649170775595,balanced,entropy,10,4,2,0.9017072346179852,0.9660919540229885,0.9491379310344827,0.9406097210238712,0.9575783721599079,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
2,0.9430250425718472,0.022334924417344606,0.9731198934002222,0.002772175165022951,0.05041723251342774,0.012183100180663218,0.02669682502746582,0.01094337721280736,balanced,entropy,10,4,5,0.9017072346179852,0.9660919540229885,0.9491379310344827,0.9406097210238712,0.9575783721599079,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
4,0.9413427988821216,0.02213439455058433,0.972689412873525,0.0023166654900553005,0.039599275588989256,0.005886881786776024,0.021713733673095703,0.0035368611227722534,,entropy,10,4,10,0.9017072346179852,0.9660919540229885,0.9576271186440678,0.9406097210238712,0.9406779661016949,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
5,0.941290085297459,0.02369964085829442,0.981345575524567,0.0024669980469561037,0.04435486793518066,0.012554654191085996,0.023513603210449218,0.010775514408493666,balanced,entropy,10,1,10,0.9101184194483483,0.9660919540229885,0.9576271186440678,0.9150345622119815,0.9575783721599079,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
6,0.9385258632110023,0.01846940657852235,0.9748279877911056,0.0033301084867960106,0.062436246871948244,0.007422722996123332,0.023856592178344727,0.01130820177577782,balanced,entropy,10,2,10,0.9101184194483483,0.9523692235514896,0.9576271186440678,0.9233766233766234,0.9491379310344827,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}"
7,0.9379422449875884,0.01917548670199376,0.972695456755255,0.002318188460134176,0.05101509094238281,0.0048168881739520004,0.03202319145202637,0.012694510655193354,,entropy,10,4,2,0.9017072346179852,0.957578372159908,0.9491379310344827,0.9406097210238712,0.9406779661016949,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
7,0.9379422449875884,0.01917548670199376,0.972695456755255,0.002318188460134176,0.04997010231018066,0.015366954755781367,0.01804375648498535,0.0019493237808026597,,entropy,10,4,5,0.9017072346179852,0.957578372159908,0.9491379310344827,0.9406097210238712,0.9406779661016949,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
9,0.9362033795608531,0.019533860510818218,0.9851636649043162,0.0013392014756589265,0.04672608375549316,0.02418061419686494,0.022858953475952147,0.0074810041908241285,balanced,entropy,,1,10,0.9101184194483483,0.949020737327189,0.9576271186440678,0.9152298850574713,0.949020737327189,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
9,0.9362033795608531,0.019533860510818218,0.9851636649043162,0.0013392014756589265,0.04259815216064453,0.020706427137314784,0.013653421401977539,0.0029566856998179,balanced,entropy,15,1,10,0.9101184194483483,0.949020737327189,0.9576271186440678,0.9152298850574713,0.949020737327189,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
11,0.9361973677415284,0.029432129977881725,0.9847391842875736,0.0024688468175798933,0.05313167572021484,0.004592978252076634,0.02647252082824707,0.0073804687991373364,balanced,entropy,10,1,5,0.8847532116294794,0.9660919540229885,0.9576271186440678,0.9233766233766234,0.9491379310344827,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
12,0.9361531373549218,0.01881321350404309,1.0,0.0,0.022322940826416015,0.0009697478376771274,0.011071443557739258,0.0019759062202787587,balanced,gini,,1,2,0.9102061631198359,0.931712962962963,0.9575783721599079,0.9236410698878343,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
12,0.9361531373549218,0.01881321350404309,1.0,0.0,0.03506016731262207,0.005748354617710546,0.01662764549255371,0.007572649727314365,balanced,gini,15,1,2,0.9102061631198359,0.931712962962963,0.9575783721599079,0.9236410698878343,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
14,0.9361355549152153,0.019249945234902886,0.974818692129,0.0033920701166919773,0.03534841537475586,0.005041088186852031,0.01887960433959961,0.006871078446993931,,entropy,,4,10,0.9017072346179852,0.949020737327189,0.9576271186440678,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
14,0.9361355549152153,0.019249945234902886,0.974818692129,0.0033920701166919773,0.04605879783630371,0.020285850304038313,0.014578437805175782,0.0030593152889457865,,entropy,15,4,10,0.9017072346179852,0.949020737327189,0.9576271186440678,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
14,0.9361355549152153,0.019249945234902886,0.975243128773967,0.003466228395303813,0.03879117965698242,0.003814747562672909,0.01683320999145508,0.006033393023102524,balanced,entropy,,4,10,0.9017072346179852,0.949020737327189,0.9576271186440678,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
14,0.9361355549152153,0.019249945234902886,0.975243128773967,0.003466228395303813,0.02791295051574707,0.009619829739073597,0.009571409225463868,0.0017961678046334373,balanced,entropy,15,4,10,0.9017072346179852,0.949020737327189,0.9576271186440678,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
18,0.9361133197292268,0.03560257489601437,0.9817701518936659,0.002162682279641055,0.04412546157836914,0.006213251767524686,0.029021453857421876,0.006381465490835691,,entropy,10,1,10,0.8757991388823032,0.9660919540229885,0.9576271186440678,0.9150345622119815,0.9660138248847926,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
19,0.9360757602087808,0.031551673805356395,0.98601008862064,0.0025455696332132545,0.05377140045166016,0.013010463701086997,0.0271090030670166,0.0059346346333999265,,entropy,10,1,5,0.8840467940049583,0.9660919540229885,0.9576271186440678,0.9150345622119815,0.9575783721599079,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
20,0.9359661326094241,0.03376432423800794,0.9881295154689091,0.0017020728563780646,0.033794593811035153,0.0047560240723957155,0.02510976791381836,0.007316289352739327,,entropy,10,1,2,0.8751565948435327,0.9660919540229885,0.9576271186440678,0.9233766233766234,0.9575783721599079,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
